,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,test_id
351,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00388_test.json
352,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00387_test.json
353,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00386_test.json
354,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00385_test.json
355,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00384_test.json
356,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00383_test.json
357,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00382_test.json
358,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00381_test.json
359,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00380_test.json
360,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00379_test.json
361,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00378_test.json
362,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00377_test.json
363,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00376_test.json
364,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00375_test.json
365,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00374_test.json
366,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00373_test.json
367,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00372_test.json
368,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00371_test.json
369,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00370_test.json
370,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00369_test.json
371,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00368_test.json
372,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00367_test.json
373,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00366_test.json
374,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00365_test.json
375,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00364_test.json
376,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00363_test.json
377,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00362_test.json
378,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00361_test.json
379,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00360_test.json
380,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00359_test.json
381,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00358_test.json
382,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00357_test.json
383,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00356_test.json
384,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00355_test.json
385,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00354_test.json
386,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00353_test.json
387,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00352_test.json
388,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00351_test.json
389,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00350_test.json
390,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00349_test.json
391,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00348_test.json
392,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00347_test.json
393,862.9457885377005,7719.216685439991,8.500046046759506,5167.217827503812,0.9596358982867109,861.2029712506354,1286.5361142399986,0.0,0.0,-2.14346591533978,0.0,1,0,5,2245.213068294945,NOT_EXECUTED,3.7862472660795534,2109.5078445328277,,5.757815389720266,destHigh5\00346_test.json
394,800.0061212503854,13092.330057562922,16.912212148023002,2846.0614010855134,4.024201482131026,970.7536728287237,1636.5412571953652,0.0,0.0,-0.8540958664107547,0.0,3,0,5,2566.7946360834894,NOT_EXECUTED,6.408666537191041,1348.751566561265,,32.19361185704821,destHigh5\00345_test.json
395,692.976291708212,2644.522657775289,8.848418779075127,2501.7326942148843,2.2315440404526647,416.95544903581407,440.75377629588155,0.007796017451270482,0.0,0.0,0.0,1,0,5,1376.1924002524497,NOT_EXECUTED,3.7119790885421446,1021.3280956107807,,13.389264242715988,destHigh5\00344_test.json
396,817.5995756687006,13273.658077860542,15.614671077618809,3081.558310080432,2.751021888906817,513.593051680072,2212.2763463100905,0.0,0.0,-1.1532157075305662,0.0,1,0,5,2203.436283049542,NOT_EXECUTED,6.386232543933334,1258.0409120550469,,16.5061313334409,destHigh5\00343_test.json
397,917.6338846347358,4776.603661051632,11.011625725561915,2933.185956416492,1.3546517039978927,419.026565202356,682.3719515788046,0.0,0.0,-0.8663137736870179,0.0,1,0,6,1874.0250488949578,NOT_EXECUTED,4.2739534702367346,1108.6400842550256,,9.482561927985248,destHigh5\00342_test.json
398,916.8396379805769,9521.549557473882,112.05486468418373,5254.860802227965,23.94112458656348,1064.3179813834743,1904.3099114947763,2.8924600143896733,0.0,-3.058311568874075,0.0,2,0,3,2235.3371818354067,NOT_EXECUTED,49.41969357059316,2342.762845270708,,119.70562293281739,destHigh5\00341_test.json
399,902.0671944486594,2941.591782045117,10.133688509906714,1305.8278954905602,-6.982129526905082,231.7067069388581,490.26529700751945,0.0,0.0,-51.6702771948014,0.0,1,1,4,1280.5465967713524,NOT_EXECUTED,22.292719160303744,527.291939741146,,-41.89277716143049,destHigh5\00340_test.json
400,841.9583903054872,10106.987184325342,9.936008999636616,5051.7532111608425,0.22283387497852605,1525.5586622261862,1684.4978640542238,0.0,0.0,-8.06662157832422,0.0,1,1,4,2084.5128525877903,NOT_EXECUTED,5.723288596947025,2382.408341202817,,1.3370032498711564,destHigh5\00339_test.json
401,264.3951339635066,2033.3436396584648,20.860028840743542,1610.8204232802636,4.970133425336572,378.3071269661161,338.8906066097441,0.0,0.0,0.0,0.0,2,0,4,599.293558575804,NOT_EXECUTED,8.569981042036995,658.8406764674344,,29.82080055201943,destHigh5\00338_test.json
402,841.883671901426,13430.021502353611,13.914640877599895,4746.366316209105,3.7257728691863337,1357.0509444144739,1678.7526877942014,0.31584411508673993,0.0,0.0,0.0,3,0,5,2809.015225880757,NOT_EXECUTED,5.396279181335061,1962.2302704066205,,29.806182953490666,destHigh5\00337_test.json
