,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,uturns,test_id
10,17.84063034568905,100.56506095784324,78.28714337931254,60.669745623673265,478.01969429318575,11.556298418097219,81.47639987546472,7.828714337931254,6.616264037903779,39.476557427435566,-8.89193228948634,0,7,1,2,178.4063034568905,PASS,18.657585859216407,141.7732298681216,103.06315159797668,115.5629841809722,0,Town1-1\00013_test.json
11,18.261397479091155,91.67942174960879,311.6145679997257,41.07284754713395,53.69351746533507,-19.786221230912247,27.469066972439744,31.16145679997257,-9.849306329329703,27.286967925160564,-91.5873805835123,0,2,6,2,182.61397479091156,FAIL,39.65072724449061,17.927402483752946,27.897910118103027,-197.86221230912247,0,Town1-1\00012_test.json
12,21.631836032209286,88.06997089517864,200.49447195907777,41.73389576092443,141.15541467912243,-11.006448843505673,52.54466876645044,25.06180899488472,-9.878173309851398,37.530904558253965,-86.19550290526001,0,2,5,1,173.0546882576743,FAIL,36.175917973329916,47.17881101407209,22.049137353897095,-88.05159074804541,0,Town1-1\00011_test.json
13,24.595195231118836,92.21131706407776,1432.0863382656983,77.89558839913079,75.85112747773329,3.296648736758649,18.860950828658247,130.1896671150635,0.0,0.0,-95.30174769072977,0,3,1,7,270.5471475423072,FAIL,40.85423642659252,30.300652400677652,31.09852361679077,36.263136104345136,0,Town1-1\00010_test.json
14,23.09347510161387,90.88941411142316,1062.8085742630005,33.611569479277684,229.23113314104364,-21.001402177893667,43.16969937046937,96.61896129663641,0.0,0.0,-131.78035833252878,0,2,3,6,254.02822611775255,FAIL,55.4905154183174,77.56743544489807,23.845202445983887,-231.01542395683035,0,Town1-1\00009_test.json
15,17.977291256927458,88.18128074764329,345.41762064300445,47.84267661001266,62.51237475126153,-15.311300482180066,28.78137174110445,31.401601876636768,-7.249936425669366,28.418766022492193,-95.36289114089892,0,2,6,3,197.75020382620204,FAIL,38.09929049518135,22.23080060335254,37.14836263656616,-168.42430530398073,0,Town1-1\00008_test.json
16,17.84063034568905,100.56506095784324,78.28714337931254,60.669745623673265,478.01969429318575,11.556298418097219,81.47639987546472,7.828714337931254,6.616264037903779,39.476557427435566,-8.89193228948634,0,7,1,2,178.4063034568905,PASS,18.657585859216407,141.7732298681216,96.69773554801941,115.5629841809722,0,Town1-1\00007_test.json
17,18.261397479091155,91.67942174960879,311.6145679997257,41.07284754713395,53.69351746533507,-19.786221230912247,27.469066972439744,31.16145679997257,-9.849306329329703,27.286967925160564,-91.5873805835123,0,2,6,2,182.61397479091156,FAIL,39.65072724449061,17.927402483752946,28.00530457496643,-197.86221230912247,0,Town1-1\00006_test.json
18,21.631836032209286,88.06997089517864,200.49447195907777,41.73389576092443,141.15541467912243,-11.006448843505673,52.54466876645044,25.06180899488472,-9.878173309851398,37.530904558253965,-86.19550290526001,0,2,5,1,173.0546882576743,FAIL,36.175917973329916,47.17881101407209,22.32192587852478,-88.05159074804541,0,Town1-1\00005_test.json
19,24.595195231118836,92.21131706407776,1432.0863382656983,77.89558839913079,75.85112747773329,3.296648736758649,18.860950828658247,130.1896671150635,0.0,0.0,-95.30174769072977,0,3,1,7,270.5471475423072,FAIL,40.85423642659252,30.300652400677652,31.381123065948486,36.263136104345136,0,Town1-1\00004_test.json
20,23.09347510161387,90.88941411142316,1062.8085742630005,33.611569479277684,229.23113314104364,-21.001402177893667,43.16969937046937,96.61896129663641,0.0,0.0,-131.78035833252878,0,2,3,6,254.02822611775255,FAIL,55.4905154183174,77.56743544489807,23.64966630935669,-231.01542395683035,0,Town1-1\00003_test.json
21,17.977291256927458,88.18128074764329,345.41762064300445,47.84267661001266,62.51237475126153,-15.311300482180066,28.78137174110445,31.401601876636768,-7.249936425669366,28.418766022492193,-95.36289114089892,0,2,6,3,197.75020382620204,FAIL,38.09929049518135,22.23080060335254,36.79437446594238,-168.42430530398073,0,Town1-1\00002_test.json
22,17.84063034568905,100.56506095784324,78.28714337931254,60.669745623673265,478.01969429318575,11.556298418097219,81.47639987546472,7.828714337931254,6.616264037903779,39.476557427435566,-8.89193228948634,0,7,1,2,178.4063034568905,PASS,18.657585859216407,141.7732298681216,96.7101879119873,115.5629841809722,0,Town1-1\00001_test.json
23,18.261397479091155,91.67942174960879,311.6145679997257,41.07284754713395,53.69351746533507,-19.786221230912247,27.469066972439744,31.16145679997257,-9.849306329329703,27.286967925160564,-91.5873805835123,0,2,6,2,182.61397479091156,FAIL,39.65072724449061,17.927402483752946,27.55142879486084,-197.86221230912247,0,Town1-1\00000_test.json
