,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,uturns,test_id
12,21.631836005150543,88.06997089517864,200.49457710258986,41.73392170031408,141.15581533292217,-11.006454534038163,52.544763905940144,25.061822137823732,-9.878135362108587,37.53090261020287,-86.19553100522786,0,2,5,1,173.05468804120434,PASS,36.17592427732397,47.178968969796934,18.625346660614014,-88.05163627230527,0,Town1-1\00011_test.json
13,24.595194129039772,92.21131706407776,1432.0895913691295,77.89487584785249,75.8507726350925,3.2965411266432967,18.860972078749242,130.18996285173904,0.0,0.0,-95.3028975510534,0,3,1,7,270.5471354194375,PASS,40.854440323839526,30.300746328721186,27.969568014144897,36.261952393076264,0,Town1-1\00010_test.json
14,23.093474521908703,90.88941411142316,1062.811156769605,33.61167623320958,229.22773523268165,-21.001394347914633,43.1695033231297,96.6191960699641,0.0,0.0,-131.7803602391854,0,2,3,6,254.02821974099575,PASS,55.490561923132404,77.5668062910267,25.149779558181763,-231.01533782706096,0,Town1-1\00009_test.json
15,17.977291207024546,88.18128074764329,345.4187971630866,47.84273444124938,62.51227497529834,-15.311311373741496,28.78137580757298,31.401708833007874,-7.2499374569679365,28.418740388232887,-95.3630439079622,0,2,6,3,197.75020327727,FAIL,38.09933840267987,22.230795267286155,7.4902589321136475,-168.42442511115647,0,Town1-1\00008_test.json
16,17.84063029155968,100.56506095784323,78.28734326547712,60.66979885372832,478.02234175703757,11.556329150699087,81.47660570911708,7.828734326547712,6.616245479522241,39.47641451124535,-8.892023136155593,0,7,1,2,178.4063029155968,PASS,18.657620109151733,141.77406036160005,20.97244381904602,115.56329150699085,0,Town1-1\00007_test.json
17,18.261397452567643,91.67942174960878,311.61469277302274,41.072794978839866,53.693473264052116,-19.78622255049516,27.469063831536552,31.161469277302274,-9.849303069863291,27.286979207706892,-91.58732279840375,0,2,6,2,182.6139745256764,PASS,39.65071967369466,17.927392279121708,17.91575312614441,-197.86222550495162,0,Town1-1\00006_test.json
18,21.631836005150543,88.06997089517864,200.49457710258986,41.73392170031408,141.15581533292217,-11.006454534038163,52.544763905940144,25.061822137823732,-9.878135362108587,37.53090261020287,-86.19553100522786,0,2,5,1,173.05468804120434,PASS,36.17592427732397,47.178968969796934,17.389929056167603,-88.05163627230527,0,Town1-1\00005_test.json
19,24.595194129039772,92.21131706407776,1432.0895913691295,77.89487584785249,75.8507726350925,3.2965411266432967,18.860972078749242,130.18996285173904,0.0,0.0,-95.3028975510534,0,3,1,7,270.5471354194375,PASS,40.854440323839526,30.300746328721186,25.952120780944824,36.261952393076264,0,Town1-1\00004_test.json
20,23.093474521908703,90.88941411142316,1062.811156769605,33.61167623320958,229.22773523268165,-21.001394347914633,43.1695033231297,96.6191960699641,0.0,0.0,-131.7803602391854,0,2,3,6,254.02821974099575,PASS,55.490561923132404,77.5668062910267,24.636844635009766,-231.01533782706096,0,Town1-1\00003_test.json
21,17.977291207024546,88.18128074764329,345.4187971630866,47.84273444124938,62.51227497529834,-15.311311373741496,28.78137580757298,31.401708833007874,-7.2499374569679365,28.418740388232887,-95.3630439079622,0,2,6,3,197.75020327727,FAIL,38.09933840267987,22.230795267286155,7.581036567687988,-168.42442511115647,0,Town1-1\00002_test.json
22,17.84063029155968,100.56506095784323,78.28734326547712,60.66979885372832,478.02234175703757,11.556329150699087,81.47660570911708,7.828734326547712,6.616245479522241,39.47641451124535,-8.892023136155593,0,7,1,2,178.4063029155968,PASS,18.657620109151733,141.77406036160005,19.31677770614624,115.56329150699085,0,Town1-1\00001_test.json
23,18.261397452567643,91.67942174960878,311.61469277302274,41.072794978839866,53.693473264052116,-19.78622255049516,27.469063831536552,31.161469277302274,-9.849303069863291,27.286979207706892,-91.58732279840375,0,2,6,2,182.6139745256764,PASS,39.65071967369466,17.927392279121708,17.91667103767395,-197.86222550495162,0,Town1-1\00000_test.json
